"Row ID","Order ID","Order Date","Ship Date","Ship Mode","Customer ID","Customer Name","segment","Postal Code","city","state","country","Product ID","Product Name","Sub-Category","category","sales","quantity","discount","profit","Shipping Cost","Order Priority","Month (name)"
"47986","IR-2016-AG52560-42371","2016-01-02","2016-01-04","Second Class","AG-52560","Andy Gerbode","Corporate",,"Ardabil","Ardabil","Iran","TEC-PH-5264","Motorola Signal Booster, Full Size","Phones","Technology",202188,14,0,3234,239.62,"High","Januari"
"46555","EG-2016-CV229538-42371","2016-01-02","2016-01-02","Same Day","CV-229538","Christina VanderZanden","Consumer",,"Cairo","Al Qahirah","Egypt","OFF-BI-4807","Ibico Binder Covers, Clear","Binders","Office Supplies",5244,4,0,36,6.88,"High","Januari"
"21639","ID-2016-RL196157-42371","2016-01-02","2016-01-03","First Class","RL-196157","Rob Lucas","Consumer",,"Newcastle","New South Wales","Australia","FUR-BO-3639","Bush Library with Doors, Metal","Bookcases","Furniture",163701,5,0.1,-3639,452.28,"Medium","Januari"
"46556","EG-2016-CV229538-42371","2016-01-02","2016-01-02","Same Day","CV-229538","Christina VanderZanden","Consumer",,"Cairo","Al Qahirah","Egypt","TEC-PH-3132","Apple Headset, Cordless","Phones","Technology",7611,1,0,1596,14.79,"High","Januari"
"42274","EG-2016-KC654038-42371","2016-01-02","2016-01-09","Standard Class","KC-654038","Kelly Collister","Consumer",,"Hurghada","Al Bahr Al Ahmar","Egypt","OFF-ST-4260","Fellowes File Cart, Wire Frame","Storage","Office Supplies",13638,1,0,2862,4.57,"Medium","Januari"
"22788","ID-2016-HW149357-42373","2016-01-04","2016-01-06","First Class","HW-149357","Helen Wasserman","Corporate",,"Brisbane","Queensland","Australia","OFF-SU-4119","Elite Box Cutter, Steel","Supplies","Office Supplies",92583,3,0.1,-8307,11.95,"Medium","Januari"
"795","US-2016-SP209205-42374","2016-01-05","2016-01-09","Standard Class","SP-209205","Susan Pistek","Consumer",,"Avellaneda","Santa Fe","Argentina","FUR-CH-5409","Novimex Steel Folding Chair, Set of Two","Chairs","Furniture",101376,3,0.4,-27084,2.263,"Medium","Januari"
"20384","ID-2016-RS197657-42374","2016-01-05","2016-01-06","First Class","RS-197657","Roland Schwarz","Corporate",,"Mackay","Queensland","Australia","OFF-ST-5695","Rogers Folders, Industrial","Storage","Office Supplies",84159,3,0.1,-6561,13.45,"Medium","Januari"
"796","US-2016-SP209205-42374","2016-01-05","2016-01-09","Standard Class","SP-209205","Susan Pistek","Consumer",,"Avellaneda","Santa Fe","Argentina","OFF-EN-4447","GlobeWeis Manila Envelope, Recycled","Envelopes","Office Supplies",31428,3,0.4,-19392,2.197,"Medium","Januari"
"50891","AJ-2016-DC32859-42376","2016-01-07","2016-01-12","Standard Class","DC-32859","Debra Catini","Consumer",,"Baku","Baki","Azerbaijan","OFF-BI-3738","Cardinal Index Tab, Durable","Binders","Office Supplies",762,1,0,342,1.42,"Medium","Januari"
"25671","ID-2016-CD122807-42376","2016-01-07","2016-01-13","Standard Class","CD-122807","Christina DeMoss","Consumer",,"Sydney","New South Wales","Australia","FUR-TA-5059","Lesro Conference Table, Rectangular","Tables","Furniture",2993025,5,0.3,726825,333.06,"Medium","Januari"
"25670","ID-2016-CD122807-42376","2016-01-07","2016-01-13","Standard Class","CD-122807","Christina DeMoss","Consumer",,"Sydney","New South Wales","Australia","TEC-AC-4188","Enermax Router, USB","Accessories","Technology",698058,3,0.1,147348,54.26,"Medium","Januari"
"25673","ID-2016-CD122807-42376","2016-01-07","2016-01-13","Standard Class","CD-122807","Christina DeMoss","Consumer",,"Sydney","New South Wales","Australia","TEC-CO-4575","Hewlett Fax Machine, Color","Copiers","Technology",1156896,4,0.1,-38664,87.79,"Medium","Januari"
"25672","ID-2016-CD122807-42376","2016-01-07","2016-01-13","Standard Class","CD-122807","Christina DeMoss","Consumer",,"Sydney","New South Wales","Australia","FUR-CH-5808","SAFCO Swivel Stool, Set of Two","Chairs","Furniture",765855,5,0.1,8505,28.59,"Medium","Januari"
"25668","ID-2016-CD122807-42376","2016-01-07","2016-01-13","Standard Class","CD-122807","Christina DeMoss","Consumer",,"Sydney","New South Wales","Australia","FUR-CH-4561","Harbour Creations Swivel Stool, Adjustable","Chairs","Furniture",328698,2,0.1,-14622,18.79,"Medium","Januari"
"45901","PL-2016-AT435103-42376","2016-01-07","2016-01-12","Second Class","AT-435103","Alyssa Tate","Home Office",,"Gdansk","Pomerania","Poland","OFF-BI-4830","Ibico Index Tab, Economy","Binders","Office Supplies",2082,2,0,702,1.44,"Medium","Januari"
"25669","ID-2016-CD122807-42376","2016-01-07","2016-01-13","Standard Class","CD-122807","Christina DeMoss","Consumer",,"Sydney","New South Wales","Australia","TEC-PH-5813","Samsung Audio Dock, Full Size","Phones","Technology",302616,2,0.1,94116,16.18,"Medium","Januari"
"25674","ID-2016-CD122807-42376","2016-01-07","2016-01-13","Standard Class","CD-122807","Christina DeMoss","Consumer",,"Sydney","New South Wales","Australia","OFF-SU-2985","Acme Ruler, High Speed","Supplies","Office Supplies",45117,3,0.1,-3033,2.04,"Medium","Januari"
"27280","IN-2016-MV181907-42376","2016-01-07","2016-01-11","Standard Class","MV-181907","Mike Vittorini","Consumer",,"Brisbane","Queensland","Australia","OFF-ST-4080","Eldon Lockers, Single Width","Storage","Office Supplies",1603314,9,0.1,142344,113.3,"Medium","Januari"
"45941","CM-2016-AS28522-42377","2016-01-08","2016-01-14","Standard Class","AS-28522","Alejandro Savely","Corporate",,"Nkongsamba","Littoral","Cameroon","OFF-ST-6024","Smead Box, Industrial","Storage","Office Supplies",225,2,0,18,1.38,"Medium","Januari"
"30211","ID-2016-RB193607-42377","2016-01-08","2016-01-12","Standard Class","RB-193607","Raymond Buch","Consumer",,"Sydney","New South Wales","Australia","TEC-MA-5538","Panasonic Calculator, Durable","Machines","Technology",2268,5,0.1,-228,32.41,"High","Januari"
"30213","ID-2016-RB193607-42377","2016-01-08","2016-01-12","Standard Class","RB-193607","Raymond Buch","Consumer",,"Sydney","New South Wales","Australia","OFF-PA-4143","Enermax Cards & Envelopes, 8.5 x 11","Paper","Office Supplies",184464,4,0.1,77784,8.71,"High","Januari"
"30215","ID-2016-RB193607-42377","2016-01-08","2016-01-12","Standard Class","RB-193607","Raymond Buch","Consumer",,"Sydney","New South Wales","Australia","OFF-PA-6608","Xerox Computer Printout Paper, Recycled","Paper","Office Supplies",4725,2,0.1,1311,6.44,"High","Januari"
"49246","TU-2016-AG390134-42377","2016-01-08","2016-01-08","Same Day","AG-390134","Allen Goldenen","Consumer",,"Kayseri","Kayseri","Turkey","OFF-ST-4105","Eldon Trays, Blue","Storage","Office Supplies",38376,2,0.6,-40344,4.57,"Medium","Januari"
"49245","TU-2016-AG390134-42377","2016-01-08","2016-01-08","Same Day","AG-390134","Allen Goldenen","Consumer",,"Kayseri","Kayseri","Turkey","OFF-LA-4685","Hon Round Labels, 5000 Label Set","Labels","Office Supplies",1128,4,0.6,-792,1.34,"Medium","Januari"
"30214","ID-2016-RB193607-42377","2016-01-08","2016-01-12","Standard Class","RB-193607","Raymond Buch","Consumer",,"Sydney","New South Wales","Australia","OFF-FA-3019","Advantus Clamps, 12 Pack","Fasteners","Office Supplies",33696,2,0.1,5976,2.16,"High","Januari"
"42556","KG-2016-PW903070-42377","2016-01-08","2016-01-10","Second Class","PW-903070","Pauline Webber","Corporate",,"Osh","Osh","Kyrgyzstan","OFF-AR-3552","Boston Sketch Pad, Blue","Art","Office Supplies",972,2,0,4176,18.52,"High","Januari"
"42557","KG-2016-PW903070-42377","2016-01-08","2016-01-10","Second Class","PW-903070","Pauline Webber","Corporate",,"Osh","Osh","Kyrgyzstan","OFF-ST-6262","Tenex Lockers, Industrial","Storage","Office Supplies",20463,1,0,5727,36.75,"High","Januari"
"30212","ID-2016-RB193607-42377","2016-01-08","2016-01-12","Standard Class","RB-193607","Raymond Buch","Consumer",,"Sydney","New South Wales","Australia","OFF-LA-3315","Avery Round Labels, Adjustable","Labels","Office Supplies",9072,2,0.1,-528,1.65,"High","Januari"
"50445","LE-2016-CC267071-42378","2016-01-09","2016-01-09","Same Day","CC-267071","Craig Carreira","Consumer",,"Beirut","Beirut","Lebanon","OFF-BI-3293","Avery Index Tab, Clear","Binders","Office Supplies",1266,2,0,48,4.45,"Critical","Januari"
"50444","LE-2016-CC267071-42378","2016-01-09","2016-01-09","Same Day","CC-267071","Craig Carreira","Consumer",,"Beirut","Beirut","Lebanon","TEC-MA-5546","Panasonic Inkjet, Durable","Machines","Technology",62442,2,0,12486,195.23,"Critical","Januari"
"24378","IN-2016-AH101207-42378","2016-01-09","2016-01-09","Same Day","AH-101207","Adrian Hane","Home Office",,"Perth","Western Australia","Australia","TEC-AC-4151","Enermax Flash Drive, Bluetooth","Accessories","Technology",112104,3,0.1,13644,21.84,"High","Januari"
"50443","LE-2016-CC267071-42378","2016-01-09","2016-01-09","Same Day","CC-267071","Craig Carreira","Consumer",,"Beirut","Beirut","Lebanon","OFF-EN-3105","Ames Manila Envelope, Security-Tint","Envelopes","Office Supplies",5418,2,0,2166,13.11,"Critical","Januari"
"47352","TU-2016-AS135134-42379","2016-01-10","2016-01-15","Standard Class","AS-135134","Adrian Shami","Home Office",,"Etimesgut","Ankara","Turkey","OFF-BI-6377","Wilson Jones Binder Covers, Recycled","Binders","Office Supplies",924,2,0.6,-834,1.52,"Medium","Januari"
"50075","GG-2016-NP867047-42379","2016-01-10","2016-01-16","Standard Class","NP-867047","Nora Paige","Consumer",,"Tbilisi","Tbilisi","Georgia","OFF-AP-3566","Breville Coffee Grinder, Black","Appliances","Office Supplies",12258,2,0,429,11.01,"Medium","Januari"
"24818","ID-2016-JF153557-42379","2016-01-10","2016-01-14","Standard Class","JF-153557","Jay Fein","Consumer",,"Dubbo","New South Wales","Australia","OFF-SU-4304","Fiskars Box Cutter, High Speed","Supplies","Office Supplies",191808,6,0.1,-19332,8.31,"Medium","Januari"
"45128","CA-2016-GT475523-42379","2016-01-10","2016-01-12","First Class","GT-475523","Guy Thornton","Consumer",,"Montr̩al","Quebec","Canada","TEC-AC-5136","Logitech Router, Programmable","Accessories","Technology",24882,1,0,8955,31.11,"Medium","Januari"
"50076","GG-2016-NP867047-42379","2016-01-10","2016-01-16","Standard Class","NP-867047","Nora Paige","Consumer",,"Tbilisi","Tbilisi","Georgia","OFF-BI-3719","Cardinal Binder Covers, Recycled","Binders","Office Supplies",1236,1,0,555,1.17,"Medium","Januari"
"48009","AJ-2016-GZ45459-42379","2016-01-10","2016-01-12","Second Class","GZ-45459","George Zrebassa","Corporate",,"Baku","Baki","Azerbaijan","OFF-BI-2919","Acco Index Tab, Economy","Binders","Office Supplies",1008,1,0,462,1.37,"High","Januari"
"24819","ID-2016-JF153557-42379","2016-01-10","2016-01-14","Standard Class","JF-153557","Jay Fein","Consumer",,"Dubbo","New South Wales","Australia","OFF-AR-3450","BIC Canvas, Water Color","Art","Office Supplies",204768,4,0.1,6768,14.93,"Medium","Januari"
"42493","IZ-2016-LT676561-42379","2016-01-10","2016-01-14","Standard Class","LT-676561","Larry Tron","Consumer",,"Baghdad","Baghdad","Iraq","OFF-ST-4293","Fellowes Trays, Blue","Storage","Office Supplies",5739,1,0,399,1.69,"Medium","Januari"
"21833","IN-2016-BD116207-42380","2016-01-11","2016-01-15","Second Class","BD-116207","Brian DeCherney","Consumer",,"Bundaberg","Queensland","Australia","TEC-CO-3706","Canon Personal Copier, Laser","Copiers","Technology",128466,1,0.1,22836,21.2,"High","Januari"
"24410","IN-2016-ML177557-42380","2016-01-11","2016-01-17","Standard Class","ML-177557","Max Ludwig","Home Office",,"Melbourne","Victoria","Australia","FUR-BO-4857","Ikea Floating Shelf Set, Mobile","Bookcases","Furniture",77787,5,0.1,19872,26.9,"Medium","Januari"
"47664","IR-2016-LS694560-42380","2016-01-11","2016-01-15","Standard Class","LS-694560","Linda Southworth","Corporate",,"Kerman","Kerman","Iran","TEC-PH-3799","Cisco Office Telephone, with Caller ID","Phones","Technology",8046,1,0,1044,5.43,"Medium","Januari"
"25190","IN-2016-LC169307-42382","2016-01-13","2016-01-17","Standard Class","LC-169307","Linda Cazamias","Corporate",,"Adelaide","South Australia","Australia","OFF-LA-4640","Hon Color Coded Labels, Laser Printer Compatible","Labels","Office Supplies",46116,4,0.1,11676,3.18,"High","Januari"
"15340","ES-2016-TG216408-42383","2016-01-14","2016-01-14","Same Day","TG-216408","Trudy Glocke","Consumer",,"Vienna","Vienna","Austria","OFF-BI-6397","Wilson Jones Hole Reinforcements, Clear","Binders","Office Supplies",399,1,0,42,1.51,"Medium","Januari"
"15341","ES-2016-TG216408-42383","2016-01-14","2016-01-14","Same Day","TG-216408","Trudy Glocke","Consumer",,"Vienna","Vienna","Austria","OFF-AP-4949","KitchenAid Blender, Black","Appliances","Office Supplies",38796,4,0,14736,45.47,"Medium","Januari"
"42387","NI-2016-DL292595-42383","2016-01-14","2016-01-19","Standard Class","DL-292595","Daniel Lacy","Consumer",,"Kano","Kano","Nigeria","FUR-BO-3637","Bush Floating Shelf Set, Traditional","Bookcases","Furniture",51381,1,0.7,-89079,5.76,"Medium","Januari"
"42384","NI-2016-DL292595-42383","2016-01-14","2016-01-19","Standard Class","DL-292595","Daniel Lacy","Consumer",,"Kano","Kano","Nigeria","OFF-AR-3537","Boston Markers, Blue","Art","Office Supplies",7911,10,0.7,-7659,5.27,"Medium","Januari"
"42383","NI-2016-DL292595-42383","2016-01-14","2016-01-19","Standard Class","DL-292595","Daniel Lacy","Consumer",,"Kano","Kano","Nigeria","OFF-AR-3531","Boston Highlighters, Blue","Art","Office Supplies",22644,4,0.7,-33996,2.16,"Medium","Januari"
"42385","NI-2016-DL292595-42383","2016-01-14","2016-01-19","Standard Class","DL-292595","Daniel Lacy","Consumer",,"Kano","Kano","Nigeria","OFF-EN-4446","GlobeWeis Mailers, with clear poly window","Envelopes","Office Supplies",25254,2,0.7,-42966,1.74,"Medium","Januari"
"42177","TU-2016-AG300134-42383","2016-01-14","2016-01-19","Standard Class","AG-300134","Aleksandra Gannaway","Corporate",,"Istanbul","Istanbul","Turkey","OFF-AR-3500","Binney & Smith Sketch Pad, Easy-Erase","Art","Office Supplies",18636,1,0.6,-20994,1.53,"High","Januari"
"42386","NI-2016-DL292595-42383","2016-01-14","2016-01-19","Standard Class","DL-292595","Daniel Lacy","Consumer",,"Kano","Kano","Nigeria","OFF-AR-5917","Sanford Markers, Blue","Art","Office Supplies",6975,1,0.7,-11865,1.31,"Medium","Januari"
"42178","TU-2016-AG300134-42383","2016-01-14","2016-01-19","Standard Class","AG-300134","Aleksandra Gannaway","Corporate",,"Istanbul","Istanbul","Turkey","OFF-EN-3096","Ames Interoffice Envelope, Recycled","Envelopes","Office Supplies",35136,2,0.6,-13224,3.65,"High","Januari"
"15339","ES-2016-TG216408-42383","2016-01-14","2016-01-14","Same Day","TG-216408","Trudy Glocke","Consumer",,"Vienna","Vienna","Austria","TEC-AC-5196","Memorex Flash Drive, USB","Accessories","Technology",8883,3,0,792,3.81,"Medium","Januari"
"42382","NI-2016-DL292595-42383","2016-01-14","2016-01-19","Standard Class","DL-292595","Daniel Lacy","Consumer",,"Kano","Kano","Nigeria","OFF-BI-6402","Wilson Jones Index Tab, Clear","Binders","Office Supplies",1773,1,0.7,-3627,1.17,"Medium","Januari"
"42179","TU-2016-AG300134-42383","2016-01-14","2016-01-19","Standard Class","AG-300134","Aleksandra Gannaway","Corporate",,"Istanbul","Istanbul","Turkey","OFF-EN-3663","Cameo Interoffice Envelope, Set of 50","Envelopes","Office Supplies",113832,6,0.6,-68328,14.5,"High","Januari"
"41518","EG-2016-BS166538-42383","2016-01-14","2016-01-17","First Class","BS-166538","Brian Stugart","Consumer",,"Alexandria","Al Iskandariyah","Egypt","OFF-ST-5706","Rogers Shelving, Industrial","Storage","Office Supplies",6261,1,0,1878,14.77,"High","Januari"
"42723","JO-2016-GA472567-42384","2016-01-15","2016-01-20","Standard Class","GA-472567","Guy Armstrong","Consumer",,"Wadi as Sir","'Amman","Jordan","OFF-ST-4250","Fellowes Box, Blue","Storage","Office Supplies",15744,8,0,2496,25.5,"High","Januari"
"42724","JO-2016-GA472567-42384","2016-01-15","2016-01-20","Standard Class","GA-472567","Guy Armstrong","Consumer",,"Wadi as Sir","'Amman","Jordan","OFF-BI-4818","Ibico Binding Machine, Recycled","Binders","Office Supplies",10356,2,0,186,13.76,"High","Januari"
"42726","JO-2016-GA472567-42384","2016-01-15","2016-01-20","Standard Class","GA-472567","Guy Armstrong","Consumer",,"Wadi as Sir","'Amman","Jordan","TEC-AC-4179","Enermax Numeric Keypad, Erganomic","Accessories","Technology",35298,6,0,387,52.66,"High","Januari"
"42725","JO-2016-GA472567-42384","2016-01-15","2016-01-20","Standard Class","GA-472567","Guy Armstrong","Consumer",,"Wadi as Sir","'Amman","Jordan","TEC-MA-5545","Panasonic Card Printer, Wireless","Machines","Technology",17382,1,0,2433,17.7,"High","Januari"
"50801","MO-2016-BN147086-42385","2016-01-16","2016-01-22","Standard Class","BN-147086","Brad Norvell","Corporate",,"Rabat","Rabat-Sal̩-Zemmour-Zaer","Morocco","FUR-TA-4635","Hon Coffee Table, Fully Assembled","Tables","Furniture",63474,2,0,21576,64.35,"Medium","Januari"
"28464","IN-2016-TH211157-42385","2016-01-16","2016-01-21","Standard Class","TH-211157","Thea Hudgings","Corporate",,"Melbourne","Victoria","Australia","OFF-PA-6615","Xerox Message Books, Premium","Paper","Office Supplies",109998,6,0.1,4878,9.43,"High","Januari"
"28463","IN-2016-TH211157-42385","2016-01-16","2016-01-21","Standard Class","TH-211157","Thea Hudgings","Corporate",,"Melbourne","Victoria","Australia","OFF-FA-2962","Accos Thumb Tacks, Metal","Fasteners","Office Supplies",3726,3,0.1,531,6.11,"High","Januari"
"28466","IN-2016-TH211157-42385","2016-01-16","2016-01-21","Standard Class","TH-211157","Thea Hudgings","Corporate",,"Melbourne","Victoria","Australia","OFF-AP-4950","KitchenAid Blender, Silver","Appliances","Office Supplies",88965,1,0.1,32595,14.74,"High","Januari"
"28465","IN-2016-TH211157-42385","2016-01-16","2016-01-21","Standard Class","TH-211157","Thea Hudgings","Corporate",,"Melbourne","Victoria","Australia","OFF-BI-2899","Acco Binding Machine, Clear","Binders","Office Supplies",18198,4,0.1,5046,29.21,"High","Januari"
"24628","IN-2016-BP112307-42385","2016-01-16","2016-01-18","Second Class","BP-112307","Benjamin Patterson","Consumer",,"Geelong","Victoria","Australia","TEC-AC-5872","SanDisk Memory Card, Bluetooth","Accessories","Technology",404676,4,0.1,-31524,147.18,"Critical","Januari"
"50800","MO-2016-BN147086-42385","2016-01-16","2016-01-22","Standard Class","BN-147086","Brad Norvell","Corporate",,"Rabat","Rabat-Sal̩-Zemmour-Zaer","Morocco","TEC-CO-4784","HP Personal Copier, Color","Copiers","Technology",25146,2,0,5532,12.48,"Medium","Januari"
"50803","MO-2016-BN147086-42385","2016-01-16","2016-01-22","Standard Class","BN-147086","Brad Norvell","Corporate",,"Rabat","Rabat-Sal̩-Zemmour-Zaer","Morocco","OFF-ST-4097","Eldon Shelving, Wire Frame","Storage","Office Supplies",9498,2,0,756,7.13,"Medium","Januari"
"13195","ES-2016-SC200208-42385","2016-01-16","2016-01-20","Standard Class","SC-200208","Sam Craven","Consumer",,"Vienna","Vienna","Austria","OFF-AR-5921","Sanford Pencil Sharpener, Easy-Erase","Art","Office Supplies",13545,5,0,6765,8.91,"Medium","Januari"
"50802","MO-2016-BN147086-42385","2016-01-16","2016-01-22","Standard Class","BN-147086","Brad Norvell","Corporate",,"Rabat","Rabat-Sal̩-Zemmour-Zaer","Morocco","OFF-SU-4317","Fiskars Scissors, Serrated","Supplies","Office Supplies",7944,4,0,3564,5.71,"Medium","Januari"
"50804","MO-2016-BN147086-42385","2016-01-16","2016-01-22","Standard Class","BN-147086","Brad Norvell","Corporate",,"Rabat","Rabat-Sal̩-Zemmour-Zaer","Morocco","TEC-PH-3132","Apple Headset, Cordless","Phones","Technology",7611,1,0,1596,5.02,"Medium","Januari"
"50799","MO-2016-BN147086-42385","2016-01-16","2016-01-22","Standard Class","BN-147086","Brad Norvell","Corporate",,"Rabat","Rabat-Sal̩-Zemmour-Zaer","Morocco","OFF-SU-4322","Fiskars Shears, Steel","Supplies","Office Supplies",4704,1,0,1362,3.63,"Medium","Januari"
"24627","IN-2016-BP112307-42385","2016-01-16","2016-01-18","Second Class","BP-112307","Benjamin Patterson","Consumer",,"Geelong","Victoria","Australia","OFF-AR-3469","BIC Sketch Pad, Easy-Erase","Art","Office Supplies",44037,1,0.1,2907,12.64,"Critical","Januari"
"23748","IN-2016-RF197357-42387","2016-01-18","2016-01-21","First Class","RF-197357","Roland Fjeld","Consumer",,"Newcastle","New South Wales","Australia","OFF-PA-4175","Enermax Note Cards, 8.5 x 11","Paper","Office Supplies",153414,6,0.1,15174,24.69,"High","Januari"
"45840","IR-2016-KD649560-42387","2016-01-18","2016-01-24","Standard Class","KD-649560","Keith Dawkins","Corporate",,"Gorgan","Golestan","Iran","OFF-ST-6248","Tenex File Cart, Single Width","Storage","Office Supplies",26922,2,0,12648,11.35,"Medium","Januari"
"13516","ES-2016-AT104358-42387","2016-01-18","2016-01-22","Standard Class","AT-104358","Alyssa Tate","Home Office",,"Salzburg","Salzburg","Austria","TEC-PH-5249","Motorola Audio Dock, with Caller ID","Phones","Technology",52011,3,0,20277,72.25,"Medium","Januari"
"22228","IN-2016-AJ107957-42387","2016-01-18","2016-01-24","Standard Class","AJ-107957","Anthony Johnson","Corporate",,"Adelaide","South Australia","Australia","OFF-ST-4284","Fellowes Shelving, Single Width","Storage","Office Supplies",104166,2,0.1,3426,7.57,"Medium","Januari"
"22227","IN-2016-AJ107957-42387","2016-01-18","2016-01-24","Standard Class","AJ-107957","Anthony Johnson","Corporate",,"Adelaide","South Australia","Australia","TEC-MA-6151","StarTech Receipt Printer, Durable","Machines","Technology",19926,2,0.1,354,17.04,"Medium","Januari"
"42907","EG-2016-JP613538-42387","2016-01-18","2016-01-20","Second Class","JP-613538","Julie Prescott","Home Office",,"Alexandria","Al Iskandariyah","Egypt","OFF-ST-4251","Fellowes Box, Industrial","Storage","Office Supplies",2016,1,0,99,1.86,"Medium","Januari"
"23747","IN-2016-RF197357-42387","2016-01-18","2016-01-21","First Class","RF-197357","Roland Fjeld","Consumer",,"Newcastle","New South Wales","Australia","OFF-BI-3737","Cardinal Index Tab, Clear","Binders","Office Supplies",3267,5,0.1,282,1.86,"High","Januari"
"25821","IN-2016-TG216407-42387","2016-01-18","2016-01-20","Second Class","TG-216407","Trudy Glocke","Consumer",,"Melbourne","Victoria","Australia","FUR-CH-5368","Novimex Bag Chairs, Red","Chairs","Furniture",165456,4,0.1,-3744,24.65,"High","Januari"
"27278","IN-2016-CS118451-42387","2016-01-18","2016-01-20","First Class","CS-118451","Cari Sayre","Corporate",,"Kabul","Kabul","Afghanistan","OFF-ST-6068","Smead Trays, Wire Frame","Storage","Office Supplies",33285,7,0,5985,53.01,"High","Januari"
"11597","ES-2016-TS213708-42387","2016-01-18","2016-01-21","First Class","TS-213708","Todd Sumrall","Corporate",,"Vienna","Vienna","Austria","FUR-FU-5737","Rubbermaid Photo Frame, Durable","Furnishings","Furniture",14634,3,0,729,34.2,"Medium","Januari"
"43274","IR-2016-MC813060-42387","2016-01-18","2016-01-23","Standard Class","MC-813060","Mike Caudle","Corporate",,"Ardabil","Ardabil","Iran","TEC-AC-5115","Logitech Keyboard, Bluetooth","Accessories","Technology",7245,1,0,723,6.6,"Medium","Januari"
"27279","IN-2016-CS118451-42387","2016-01-18","2016-01-20","First Class","CS-118451","Cari Sayre","Corporate",,"Kabul","Kabul","Afghanistan","FUR-TA-3758","Chromcraft Coffee Table, with Bottom Storage","Tables","Furniture",26709,1,0,3471,50.01,"High","Januari"
"25820","IN-2016-TG216407-42387","2016-01-18","2016-01-20","Second Class","TG-216407","Trudy Glocke","Consumer",,"Melbourne","Victoria","Australia","FUR-BO-5940","Sauder 3-Shelf Cabinet, Metal","Bookcases","Furniture",448578,3,0.1,174438,47.4,"High","Januari"
"49131","MO-2016-CK276086-42388","2016-01-19","2016-01-21","Second Class","CK-276086","Cyma Kinney","Corporate",,"Casablanca","Grand Casablanca","Morocco","TEC-MA-5021","Konica Receipt Printer, Wireless","Machines","Technology",12225,1,0,2445,26.82,"High","Januari"
"49132","MO-2016-CK276086-42388","2016-01-19","2016-01-21","Second Class","CK-276086","Cyma Kinney","Corporate",,"Casablanca","Grand Casablanca","Morocco","OFF-AR-6119","Stanley Pencil Sharpener, Fluorescent","Art","Office Supplies",2478,1,0,792,2.85,"High","Januari"
